pays,annees,valeur,long,lat,co
Benin,2012,625,2.2584408,9.5293472,red
Benin,2011,755,2.2584408,9.5293472,red
Benin,2010,983,2.2584408,9.5293472,red
Benin,2009,74,2.2584408,9.5293472,red
Benin,2008,985,2.2584408,9.5293472,red
Benin,2006,91,2.2584408,9.5293472,red
Benin,2005,749,2.2584408,9.5293472,red
Benin,2004,642,2.2584408,9.5293472,red
Benin,2003,434,2.2584408,9.5293472,red
Benin,2002,270,2.2584408,9.5293472,red
Benin,2001,3943,2.2584408,9.5293472,red
Benin,2000,468,2.2584408,9.5293472,red
Burkina Faso,2012,143,-1.6880314,12.0753083,blue
Burkina Faso,2011,20,-1.6880314,12.0753083,blue
Burkina Faso,2008,0,-1.6880314,12.0753083,blue
Burkina Faso,2006,0,-1.6880314,12.0753083,blue
Burkina Faso,2005,1050,-1.6880314,12.0753083,blue
Burkina Faso,2003,1,-1.6880314,12.0753083,blue
Burkina Faso,2001,477,-1.6880314,12.0753083,blue
Burkina Faso,2000,617,-1.6880314,12.0753083,blue
Cap-vert,2006,0,-24.0083947,16.0000552,green
Cap-vert,2005,0,-24.0083947,16.0000552,green
Cote divoire,2012,424,-5.5679458,7.9897371,orange
Cote divoire,2011,1261,-5.5679458,7.9897371,orange
Cote divoire,2010,32,-5.5679458,7.9897371,orange
Cote divoire,2009,5,-5.5679458,7.9897371,orange
Cote divoire,2008,7,-5.5679458,7.9897371,orange
Cote divoire,2007,8,-5.5679458,7.9897371,orange
Cote divoire,2006,414,-5.5679458,7.9897371,orange
Cote divoire,2005,39,-5.5679458,7.9897371,orange
Cote divoire,2004,105,-5.5679458,7.9897371,orange
Cote divoire,2003,1034,-5.5679458,7.9897371,orange
Cote divoire,2002,4188,-5.5679458,7.9897371,orange
Cote divoire,2001,5912,-5.5679458,7.9897371,orange
Gambie,2008,1,-15.4900464,13.470062,yellowgreen
Gambie,2007,12,-15.4900464,13.470062,yellowgreen
Gambie,2006,0,-15.4900464,13.470062,yellowgreen
Gambie,2005,214,-15.4900464,13.470062,yellowgreen
Ghana,2012,9548,-1.0800271,8.0300284,cadetblue
Ghana,2011,10628,-1.0800271,8.0300284,cadetblue
Ghana,2010,438,-1.0800271,8.0300284,cadetblue
Ghana,2009,1294,-1.0800271,8.0300284,cadetblue
Ghana,2008,1223,-1.0800271,8.0300284,cadetblue
Ghana,2007,179,-1.0800271,8.0300284,cadetblue
Ghana,2006,3357,-1.0800271,8.0300284,cadetblue
Ghana,2005,3166,-1.0800271,8.0300284,cadetblue
Ghana,2004,407,-1.0800271,8.0300284,cadetblue
Ghana,2003,204,-1.0800271,8.0300284,cadetblue
Ghana,2002,3614,-1.0800271,8.0300284,cadetblue
Ghana,2001,5487,-1.0800271,8.0300284,cadetblue
Ghana,2000,3331,-1.0800271,8.0300284,cadetblue
Guinee,2012,7350,-10.7083587,10.7226226,coral
Guinee,2011,3,-10.7083587,10.7226226,coral
Guinee,2009,42,-10.7083587,10.7226226,coral
Guinee,2008,513,-10.7083587,10.7226226,coral
Guinee,2007,8546,-10.7083587,10.7226226,coral
Guinee,2006,3242,-10.7083587,10.7226226,coral
Guinee,2005,3821,-10.7083587,10.7226226,coral
Guinee,2004,1516,-10.7083587,10.7226226,coral
Guinee,2003,6,-10.7083587,10.7226226,coral
Guinee,2002,61,-10.7083587,10.7226226,coral
Guinee,2001,392,-10.7083587,10.7226226,coral
Guinee,2000,519,-10.7083587,10.7226226,coral
Guinee bissau,2012,3068,-14.9000214,12.100035,yellow
Guinee bissau,2009,5,-14.9000214,12.100035,yellow
Guinee bissau,2008,14323,-14.9000214,12.100035,yellow
Guinee bissau,2007,153,-14.9000214,12.100035,yellow
Guinee bissau,2006,37,-14.9000214,12.100035,yellow
Guinee bissau,2005,25111,-14.9000214,12.100035,yellow
Guinee bissau,2004,155,-14.9000214,12.100035,yellow
Guinee bissau,2003,290,-14.9000214,12.100035,yellow
Guinee bissau,2002,842,-14.9000214,12.100035,yellow
Liberia,2012,219,-9.3658524,5.7499721,crimson
Liberia,2011,1146,-9.3658524,5.7499721,crimson
Liberia,2010,1546,-9.3658524,5.7499721,crimson
Liberia,2009,1070,-9.3658524,5.7499721,crimson
Liberia,2008,1236,-9.3658524,5.7499721,crimson
Liberia,2007,3063,-9.3658524,5.7499721,crimson
Liberia,2006,4929,-9.3658524,5.7499721,crimson
Liberia,2005,3823,-9.3658524,5.7499721,crimson
